page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
504532,Edward_Burk_Earth616,Edward_Burk_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-07-01,1944,27164
495225,Emil_Natas_Earth616,Emil_Natas_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-05-01,1944,27225
708896,Ensen_Earth616,Ensen_Earth616,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,False,1,1944-10-01,1944,27072
297893,Face_Japanese_Earth616,Face_Japanese_Earth616,,Bad Characters,,Grey Hair,Male Characters,,False,1,1944-09-01,1944,27102
493371,Flaming_Hate_Earth616,Flaming_Hate_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
501986,Flying_Falcon_Earth616,Flying_Falcon_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-10-01,1944,27072
493787,Fritz_Mueller_Earth616,Fritz_Mueller_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-04-01,1944,27255
493189,Fritz_von_Arnheim_Earth616,Fritz_von_Arnheim_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-02-01,1944,27315
493361,General_Blauheim_Earth616,General_Blauheim_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
501193,General_Suki_Earth616,General_Suki_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-09-01,1944,27102
493332,General_von_Savage_Earth616,General_von_Savage_Earth616,Public Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-03-01,1944,27286
502361,General_Yokima_Earth616,General_Yokima_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-10-01,1944,27072
504832,George_Mulford_Earth616,George_Mulford_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-12-01,1944,27011
493186,Georges_Tarragh_Earth616,Georges_Tarragh_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-02-01,1944,27315
499566,Ghost_Harpooner_Earth616,Ghost_Harpooner_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-06-01,1944,27194
505427,Ghost_of_Yesteryear_Earth616,Ghost_of_Yesteryear_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-12-01,1944,27011
504893,Ghostly_Terrill_Earth616,Ghostly_Terrill_Earth616,Public Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-12-01,1944,27011
492725,Great_Rosso_Earth616,Great_Rosso_Earth616,Public Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-01-01,1944,27346
493705,Hans_Thysenn_Earth616,Hans_Thysenn_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-03-01,1944,27286
495012,Head_Earth616,Head_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
495227,Hercules_Captain_America_Past_Life_Earth616,Hercules_Captain_America_Past_Life_Earth616,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,False,1,1944-05-01,1944,27225
504704,Herr_Swastika_Earth616,Herr_Swastika_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-12-01,1944,27011
504528,Jackal_Nazi_Earth616,Jackal_Nazi_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-07-01,1944,27164
754499,Jim_Langdon_Earth616,Jim_Langdon_Earth616,Public Identity,Neutral Characters,,,Male Characters,,False,1,1944-12-01,1944,27011
499792,Johnnie_Pinkham_Earth616,Johnnie_Pinkham_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-07-01,1944,27164
505432,Judas_Cain_Earth616,Judas_Cain_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-12-01,1944,27011
501988,Juggernaut_WWII_Earth616,Juggernaut_WWII_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-10-01,1944,27072
494197,Karl_Kraft_Earth616,Karl_Kraft_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-03-01,1944,27286
503076,Karl_Shaffer_Earth616,Karl_Shaffer_Earth616,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,False,1,1944-12-01,1944,27011
499798,Keeper_of_the_Flash_Earth616,Keeper_of_the_Flash_Earth616,Secret Identity,Bad Characters,,Grey Hair,Male Characters,,False,1,1944-07-01,1944,27164
504895,Klug_Earth616,Klug_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-12-01,1944,27011
