title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,0,Atom Egoyan,3,Damien Echols,Criminal,False,,False,Male,James Hamrick,5
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,0,Atom Egoyan,3,Jason Baldwin,Criminal,False,,False,Male,Seth Meriwether,5
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,0,Atom Egoyan,3,"Jessie Misskelley, Jr.",Criminal,False,,False,Male,Kristopher Higgins,5
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,0,Curtis Bernhardt,3,Charlotte Bronte,Author,True,White,False,Female,Olivia de Havilland,72
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,0,Curtis Bernhardt,3,Emily Bronte,Author,True,White,False,Female,Ida Lupino,72
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,0,Curtis Bernhardt,3,Anne Bronte,Author,True,White,False,Female,Nancy Coleman,72
Diana,http://www.imdb.com/title/tt1758595/,UK,2013,0.332,Oliver Hirschbiegel,1,Princess Diana,Other,True,White,False,Female,Naomi Watts,5
Digging Up the Marrow,http://www.imdb.com/title/tt1991031/,US,2014,0,Adam Green,1,Adam Green,Other,False,,False,Male,Adam Green,4
Dillinger,http://www.imdb.com/title/tt0037644/,US,1945,4.0,Max Nosseck,1,John Dillinger,Criminal,True,White,False,Male,Lawrence Tierney,73
Dillinger,http://www.imdb.com/title/tt0069976/,US,1973,0,John Milius,1,John Dillinger,Criminal,False,,False,Male,Warren Oates,45
Disraeli,http://www.imdb.com/title/tt0019823/,US,1929,0,Alfred E. Green,1,Benjamin Disraeli,World leader,True,White,False,Male,George Arliss,89
Domino,http://www.imdb.com/title/tt0421054/,US/UK,2005,10.1,Tony Scott,1,Domino Harvey,Other,True,White,False,Female,Keira Knightley,13
Donnie Brasco,http://www.imdb.com/title/tt0119008/,US,1997,42.0,Mike Newell,1,Joe Pistone (alias Donnie Brasco),Government,True,White,False,Male,Johnny Depp,21
Downtown 81,http://www.imdb.com/title/tt0208993/,US,1981,0.1,Edo Bertoglio,1,Jean-Michel Basquiat,Artist,True,Multi racial,True,Male,Jean Michel Basquiat,37
Dr. Ehrlich's Magic Bullet,http://www.imdb.com/title/tt0032413/,US,1940,0,William Dieterle,1,Paul Ehrlich,Medicine,True,White,False,Male,Edward G. Robinson,78
Dragon: The Bruce Lee Story,http://www.imdb.com/title/tt0106770/,US,1993,35.1,Rob Cohen,1,Bruce Lee,Athlete,True,Asian American,True,Male,Jason Scott Lee,25
Dreamchild,http://www.imdb.com/title/tt0089052/,UK,1985,0,Gavin Millar,1,Alice Liddell Hargreaves,Other,False,,False,Female,Coral Browne,33
Ed Gein,http://www.imdb.com/title/tt0230169/,US/UK,2000,0.00571,Chuck Parello,1,Ed Gein,Criminal,False,,False,Male,Steve Railsback,18
Ed Wood,http://www.imdb.com/title/tt0109707/,US,1994,5.89,Tim Burton,1,Edward D. Wood,Other,False,,False,Male,Johnny Depp,24
"Edison, the Man",http://www.imdb.com/title/tt0032432/,US,1940,0,Clarence Brown,1,Thomas Edison,Academic,True,White,False,Male,Spencer Tracy,78
Eichmann,http://www.imdb.com/title/tt0901481/,UK,2007,0,Robert Young,1,Adolf Eichmann,Military,True,White,False,Male,Thomas Kretschmann,11
El cantante,http://www.imdb.com/title/tt0458522/,US,2006,7.56,Leon Ichaso,1,HÌ©ctor Lavoe,Musician,True,Hispanic (Latin American),True,Male,Marc Anthony,12
El Cid,http://www.imdb.com/title/tt0054847/,US,1961,26.6,Anthony Mann,1,Rodrigo Diaz,Historical,True,Hispanic (White),False,Male,Charlton Heston,57
Elizabeth,http://www.imdb.com/title/tt0127536/,US/UK,1998,30.0,Shekhar Kapur,1,Elizabeth I of England,Historical,True,White,False,Female,Cate Blanchett,20
Elizabeth: The Golden Age,http://www.imdb.com/title/tt0414055/,US/UK,2007,16.3,Shekhar Kapur,1,Elizabeth I of England,Historical,True,White,False,Female,Cate Blanchett,11
Erin Brockovich,http://www.imdb.com/title/tt0195685/,US,2000,126.0,Steven Soderbergh,1,Erin Brockovich,Activist,False,,False,Female,Julia Roberts,18
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,36.5,Don Siegel,3,Clarence Anglin,Criminal,False,,False,Male,Jack Thibeau,39
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,36.5,Don Siegel,3,Frank Morris,Criminal,False,,False,Male,Clint Eastwood,39
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,36.5,Don Siegel,3,John Anglin,Criminal,False,,False,Male,Fred Ward,39
Evel Knievel,http://www.imdb.com/title/tt0067069/,US,1971,0,Marvin J. Chomsky,1,Evel Knievel,Athlete,True,White,False,Male,George Hamilton,47
Everyman's War,http://www.imdb.com/title/tt1209319/,US,2009,0,Thad T. Smith,1,Don Smith,Military,False,,False,Male,Cole Carson,9
Evita,http://www.imdb.com/title/tt0116250/,US,1996,50.0,Alan Parker,1,"Eva ""Evita"" Duarte de Peron",Actress / activist,True,Hispanic (Latin American),False,Female,Madonna,22
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/,UK,2014,65.0,Ridley Scott,1,Moses,Historical,True,Middle Eastern (White),False,Male,Christian Bale,4
Factory Girl,http://www.imdb.com/title/tt0432402/,US,2006,1.65,George Hickenlooper,1,Edie Sedgwick,Actress,True,White,False,Female,Sienna Miller,12
Fair Game,http://www.imdb.com/title/tt0977855/,US,2010,9.53,Doug Liman,1,Valerie Plame,Government,True,White,False,Female,Naomi Watts,8
Fat Man and Little Boy,http://www.imdb.com/title/tt0097336/,US,1989,3.56,Roland JoffÌÄå©,2,Leslie Groves,Military,True,White,False,Male,Paul Newman,29
Fat Man and Little Boy,http://www.imdb.com/title/tt0097336/,US,1989,3.56,Roland JoffÌÄå©,2,Robert Oppenheimer,Academic,True,White,False,Male,Dwight Schultz,29
Fear Strikes Out,http://www.imdb.com/title/tt0050383/,US,1957,0,Robert Mulligan,1,Jimmy Piersall,Athlete,False,,False,Male,Anthony Perkins,61
Fellini's Casanova,http://www.imdb.com/title/tt0074291/,US,1976,0,Federico Fellini,1,Giacomo Casanova,Historical,True,White,False,Male,Donald Sutherland,42
Find Me Guilty,http://www.imdb.com/title/tt0419749/,US,2006,1.17,Sidney Lumet,1,Jackie DiNorscio,Criminal,True,White,False,Male,Vin Diesel,12
Finding Graceland,http://www.imdb.com/title/tt0120026/,US,1998,0,David Winkler,1,Elvis Presley,Musician,True,White,False,Male,Harvey Keitel,20
Finding Neverland,http://www.imdb.com/title/tt0308644/,US/UK,2004,51.7,Marc Forster,1,J.M. Barrie,Author,True,White,False,Male,Johnny Depp,14
Fire in the Sky,http://www.imdb.com/title/tt0106912/,US,1993,20.1,Robert Lieberman,1,Travis Walton,Other,False,,False,Male,D.B. Sweeney,25
Flash of Genius,http://www.imdb.com/title/tt1054588/,US/Canada,2008,4.23,Marc Abraham,1,Robert Kearns,Other,False,,False,Male,Greg Kinnear,10
Foxcatcher,http://www.imdb.com/title/tt1100089/,US,2014,12.1,Bennett Miller,1,Mark Schultz,Athlete,True,White,False,Male,Channing Tatum,4
Frances,http://www.imdb.com/title/tt0083967/,US,1982,5.0,Graeme Clifford,1,Frances Farmer,Actress,True,White,False,Female,Jessica Lange,36
Francis of Assisi,http://www.imdb.com/title/tt0054892/,US,1961,0,Michael Curtiz,1,Francis Bernardone,Historical,True,White,False,Male,Bradford Dillman,57
Frank & Jesse,http://www.imdb.com/title/tt0109835/,US,1995,0,Robert Boris,2,Frank James,Criminal,True,White,False,Male,Bill Paxton,23
Frank & Jesse,http://www.imdb.com/title/tt0109835/,US,1995,0,Robert Boris,2,Jesse James,Criminal,True,White,False,Male,Rob Lowe,23
Frankie & Alice,http://www.imdb.com/title/tt1221208/,Canada,2010,0.693,Geoffrey Sax,1,Frankie Murdoch,Other,True,African American,True,Female,Halle Berry,8
Freedom Writers,http://www.imdb.com/title/tt0463998/,US,2007,36.6,Richard LaGravenese,1,Erin Gruwell,Other,True,White,False,Female,Hilary Swank,11
Freud,http://www.imdb.com/title/tt0055998/,US,1962,0,John Huston,1,Sigmund Freud,Academic,True,White,False,Male,Montgomery Clift,56
Frida,http://www.imdb.com/title/tt0120679/,US/Canada,2002,25.8,Julie Taymor,1,Frida Kahlo,Artist,True,Hispanic (Latin American),True,Female,Salma Hayek,16
Fruitvale Station,http://www.imdb.com/title/tt2334649/,US,2013,16.1,Ryan Coogler,1,Oscar Grant III,Other,True,African American,True,Male,Michael B. Jordan,5
Funny Girl,http://www.imdb.com/title/tt0062994/,US,1968,0.223,William Wyler,1,Fanny Brice,Actress,True,White,False,Female,Barbra Streisand,50
Fur: An Imaginary Portrait of Diane Arbus,http://www.imdb.com/title/tt0422295/,US,2006,0.221,Steven Shainberg,1,Diane Arbus,Other,True,White,False,Female,Nicole Kidman,12
Gandhi,http://www.imdb.com/title/tt0083987/,UK,1982,0,Richard Attenborough,1,Mahatma Gandhi,Activist,True,Indian,True,Male,Ben Kingsley,36
Gentleman Jim,http://www.imdb.com/title/tt0034778/,US,1942,0,Raoul Walsh,1,James J Corbett,Athlete,True,White,False,Male,Errol Flynn,76
Geronimo,http://www.imdb.com/title/tt0056016/,US,1962,0,Arnold Laven,1,Geronimo,Military,True,Native American,True,Male,Chuck Connors,56
Get on Up,http://www.imdb.com/title/tt2473602/,US/UK,2014,30.5,Tate Taylor,1,James Brown,Singer,True,African American,True,Male,Chadwick Boseman,4
Get Rich or Die Tryin',http://www.imdb.com/title/tt0430308/,US/Canada,2005,31.0,Jim Sheridan,1,Curtis '50 Cent' Jackson,Singer,True,African American,True,Male,50 Cent,13
Girl with a Pearl Earring,http://www.imdb.com/title/tt0335119/,UK,2003,11.6,Peter Webber,1,Johannes Vermeer,Artist,True,White,False,Male,Colin Firth,15
"Girl, Interrupted",http://www.imdb.com/title/tt0172493/,US,1999,28.9,James Mangold,1,Susanna Kaysen,Author,False,,False,Female,Winona Ryder,19
Glory Road,http://www.imdb.com/title/tt0385726/,US,2006,42.6,James Gartner,1,Don Haskins,Athlete,False,,False,Male,"With: Josh Lucas, Derek Luke, Austin Nichols",12
Gods and Monsters,http://www.imdb.com/title/tt0120684/,US/UK,1998,6.39,Bill Condon,1,James Whale,Other,True,White,False,Male,Ian McKellen,20
Goltzius and the Pelican Company,http://www.imdb.com/title/tt1851006/,UK,2012,0,Peter Greenaway,1,Hendrik Goltzius,Artist,True,White,False,Male,Ramsey Nasr,6
"Good Morning, Vietnam",http://www.imdb.com/title/tt0093105/,US,1987,124.0,Barry Levinson,1,Adrian Cronauer,Media,False,,False,Male,Robin Williams,31
Good Vibrations,http://www.imdb.com/title/tt1920945/,UK,2012,0,"Lisa Barros D'Sa, Glenn Leyburn",1,Terri Hooley,Musician,False,,False,Male,Richard Dormer,6
Goodfellas,http://www.imdb.com/title/tt0099685/,US,1990,46.8,Martin Scorsese,1,Henry Hill,Criminal,True,White,False,Male,Ray Liotta,28
Gorillas in the Mist,http://www.imdb.com/title/tt0095243/,US,1988,24.7,Michael Apted,1,Dian Fossey,Academic,False,,False,Female,Sigourney Weaver,30
Goya's Ghosts,http://www.imdb.com/title/tt0455957/,US,2006,1.0,Milos Forman,1,Francisco Goya,Artist,True,Hispanic (White),False,Male,Stellan SkarsgÌ´rd,12
Grace of Monaco,http://www.imdb.com/title/tt2095649/,US,2014,0,Olivier Dahan,1,Grace Kelly,Actress,True,White,False,Male,Nicole Kidman,4
Gracie,http://www.imdb.com/title/tt0441007/,US,2007,2.96,Davis Guggenheim,1,Elisabeth Shue,Athlete,True,White,False,Female,Carly Schroeder,11
Greased Lightning,http://www.imdb.com/title/tt0076106/,US,1977,0,Michael Schultz,1,Wendell Scott,Athlete,True,African American,True,Male,Richard Pryor,41
Great Balls of Fire!,http://www.imdb.com/title/tt0097457/,US,1989,13.7,Jim McBride,1,Jerry Lee Lewis,Musician,False,,False,Male,Dennis Quaid,29
Grey Owl,http://www.imdb.com/title/tt0128239/,Canada/UK,1999,0.315,Richard Attenborough,1,Grey Owl (Archibald Belaney),Other,True,Multi racial,True,Male,Pierce Brosnan,19
Gypsy,http://www.imdb.com/title/tt0056048/,US,1962,0,Mervyn LeRoy,2,Gypsy Rose Lee,Artist,True,White,False,Female,Natalie Wood,56
Gypsy,http://www.imdb.com/title/tt0056048/,US,1962,0,Mervyn LeRoy,2,Rose Thompson Hovick,Other,True,White,False,Female,Rosalind Russell,56
Hans Christian Andersen,http://www.imdb.com/title/tt0044685/,US,1952,0,Charles Vidor,1,Hans Christian Andersen,Author,True,White,False,Male,Danny Kaye,66
Harlow,http://www.imdb.com/title/tt0059252/,US,1965,0,Gordon Douglas,1,Jean Harlow,Actress,True,White,False,Female,Carroll Baker,53
Heart Like a Wheel,http://www.imdb.com/title/tt0085656/,US,1983,0,Jonathan Kaplan,1,Shirley Muldowney,Athlete,True,White,False,Female,Bonnie Bedelia,35
Heaven & Earth,http://www.imdb.com/title/tt0107096/,US,1993,5.86,Oliver Stone,1,Le Ly Hayslip,Other,True,Asian American,True,Female,Hiep Thi Le,25
Hell to Eternity,http://www.imdb.com/title/tt0053901/,US,1960,0,Phil Karlson,1,Guy Gabaldon,Military,True,Hispanic (Latino),True,Male,Jeffrey Hunter,58
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,11.6,Philip Kaufman,3,Henry Miller,Author,True,White,False,Male,Fred Ward,28
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,11.6,Philip Kaufman,3,AnaÌøs Nin,Author,True,White,False,Female,Maria de Medeiros,28
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,11.6,Philip Kaufman,3,June Miller,Other,True,White,False,Female,Uma Thurman,28
Henry V,http://www.imdb.com/title/tt0036910/,UK,1944,0,Laurence Olivier,1,Henry V of England,Historical,True,White,False,Male,Laurence Olivier,74
Henry V,http://www.imdb.com/title/tt0097499/,UK,1989,10.2,Kenneth Branagh,1,Henry V of England,Historical,True,White,False,Male,Kenneth Branagh,29
High Roller: The Stu Ungar Story,http://www.imdb.com/title/tt0338467/,US,2003,0,A.W. Vidmer,1,Stu Ungar,Other,True,White,False,Male,Michael Imperioli,15
Hilary and Jackie,http://www.imdb.com/title/tt0150915/,UK,1998,4.87,Anand Tucker,2,Jacqueline du PrÌ©,Musician,True,White,False,Female,Emily Watson,20
Hilary and Jackie,http://www.imdb.com/title/tt0150915/,UK,1998,4.87,Anand Tucker,2,Hilary du PrÌ©-Finzi,Musician,True,White,False,Female,Rachel Griffiths,20
His Majesty O'Keefe,http://www.imdb.com/title/tt0045876/,US,1954,0,Byron Haskin,1,David Dion O'Keefe,Other,True,White,False,Male,Burt Lancaster,64
Hitchcock,http://www.imdb.com/title/tt0975645/,US/UK,2012,6.0,Sacha Gervasi,2,Alfred Hitchcock,Other,True,White,False,Male,Anthony Hopkins,6
Hitchcock,http://www.imdb.com/title/tt0975645/,US/UK,2012,6.0,Sacha Gervasi,2,Alma Reville,Other,True,White,False,Female,Helen Mirren,6
Hitler: A Film from Germany,http://www.imdb.com/title/tt0076147/,UK,1977,0,Hans-JÌ_rgen Syberberg,1,Adolf Hitler,Military,True,White,False,Male,Heinz Schubert,41
Hitler: The Last Ten Days,http://www.imdb.com/title/tt0070184/,UK,1973,0,Ennio De Concini,1,Adolf Hitler,Military,True,White,False,Male,Alec Guinness,45
Hoffa,http://www.imdb.com/title/tt0104427/,US,1992,24.3,Danny DeVito,1,Jimmy Hoffa,Activist,True,White,False,Male,Jack Nicholson,26
Hollywoodland,http://www.imdb.com/title/tt0427969/,US,2006,14.4,Allen Coulter,1,George Reeves,Actor,False,,False,Male,Ben Affleck,12
Houdini,http://www.imdb.com/title/tt0045886/,US,1953,0,George Marshall,1,Harry Houdini,Other,True,White,False,Male,Tony Curtis,65
Howl,http://www.imdb.com/title/tt1049402/,US,2010,0.617,"Rob Epstein, Jeffrey Friedman",1,Allen Ginsberg,Author,True,White,False,Male,James Franco,8
Hunger,http://www.imdb.com/title/tt0986233/,UK,2008,0.154,Steve McQueen,1,Bobby Sands,Activist,True,White,False,Male,Michael Fassbender,10
Hyde Park on Hudson,http://www.imdb.com/title/tt1477855/,UK,2012,6.37,Roger Michell,2,Franklin Delano Roosevelt,World leader,True,White,False,Male,Bill Murray,6
Hyde Park on Hudson,http://www.imdb.com/title/tt1477855/,UK,2012,6.37,Roger Michell,2,Margaret Suckley,Other,False,,False,Female,Laura Linney,6
I Am a Sex Addict,http://www.imdb.com/title/tt0428649/,US,2005,0.113,Caveh Zahedi,1,Caveh Zahedi,Actor,True,Middle Eastern,True,Male,Caveh Zahedi,13
I Love You Phillip Morris,http://www.imdb.com/title/tt1045772/,US,2009,2.04,"Glenn Ficarra, John Requa",1,Steven Russell,Criminal,False,,False,Male,Jim Carrey,9
I Shot Andy Warhol,http://www.imdb.com/title/tt0116594/,US/UK,1996,1.81,Mary Harron,1,Valerie Solanas,Activist,True,Hispanic (White),False,Female,Lil Taylor,22
I Want to Live!,http://www.imdb.com/title/tt0051758/,US,1958,0,Robert Wise,1,Barbara Graham,Criminal,False,,False,Female,Susan Hayward,60
I'll Cry Tomorrow,http://www.imdb.com/title/tt0048191/,US,1955,0,Daniel Mann,1,Lillian Roth,Actress,True,White,False,Female,Susan Hayward,63
I'll See You in My Dreams,http://www.imdb.com/title/tt0043669/,US,1951,0,Michael Curtiz,1,Gus Kahn,Musician,True,White,False,Male,Danny Thomas,67
I'm Not There.,http://www.imdb.com/title/tt0368794/,US/Canada,2007,4.0,Todd Haynes,1,Bob Dylan,Musician,True,White,False,Male,-,11
If You Could See What I Hear,http://www.imdb.com/title/tt0084117/,Canada,1982,0,Eric Till,1,Tom Sullivan,Singer,True,White,False,Male,Marc Singer,36
Immortal Beloved,http://www.imdb.com/title/tt0110116/,US/UK,1994,14.4,Bernard Rose,1,Ludwig van Beethoven,Musician,True,White,False,Male,Gary Oldman,24
Impromptu,http://www.imdb.com/title/tt0102103/,UK,1991,4.08,James Lapine,2,FrÌ©dÌ©ric FranÌ¤ois Chopin,Musician,True,White,False,Male,Hugh Grant,27
Impromptu,http://www.imdb.com/title/tt0102103/,UK,1991,4.08,James Lapine,2,George Sand / Aurore,Other,True,White,False,Female,Judy Davis,27
In Love and War,http://www.imdb.com/title/tt0116621/,US,1996,14.5,Richard Attenborough,2,Ernest Hemingway,Media,True,White,False,Male,Chris O'Donnell,22
In Love and War,http://www.imdb.com/title/tt0116621/,US,1996,14.5,Richard Attenborough,2,Agnes von Kurowsky,Other,True,White,False,Female,Sandra Bullock,22
In the Name of the Father,http://www.imdb.com/title/tt0107207/,US/UK,1993,25.0,Jim Sheridan,1,Gerry Conlon,Other,True,White,False,Male,Daniel Day-Lewis,25
Infamous,http://www.imdb.com/title/tt0420609/,US,2006,1.15,Douglas McGrath,1,Truman Capote,Other,False,,False,Male,Toby Jones,12
Infinity,http://www.imdb.com/title/tt0116635/,US,1996,0.146,Matthew Broderick,1,Richard Feynman,Academic,False,,False,Male,Matthew Broderick,22
Interrupted Melody,http://www.imdb.com/title/tt0048210/,US,1955,0,Curtis Bernhardt,1,Marjorie Lawrence,Singer,True,White,False,Female,Eleanor Parker,63
Into the Wild,http://www.imdb.com/title/tt0758758/,US,2007,18.4,Sean Penn,1,Christopher McCandless,Athlete,False,,False,Male,Emile Hirsch,11
Invictus,http://www.imdb.com/title/tt1057500/,US,2009,37.5,Clint Eastwood,2,Nelson Mandela,World leader,True,African,True,Male,Morgan Freeman,9
Invictus,http://www.imdb.com/title/tt1057500/,US,2009,37.5,Clint Eastwood,2,FranÌ¤ois Pienaar,Athlete,True,White,False,Male,Matt Damon,9
Invincible,http://www.imdb.com/title/tt0445990/,US,2006,57.8,Ericson Core,1,Vince Papale,Athlete,False,,False,Male,Mark Wahlberg,12
Iris,http://www.imdb.com/title/tt0280778/,US/UK,2001,1.2,Richard Eyre,1,Iris Murdoch,Author,True,White,False,Female,Judi Dench and Kate Winslet,17
Isadora,http://www.imdb.com/title/tt0063141/,UK,1968,0,Karel Reisz,1,Isadora Duncan,Artist,False,,False,Female,Vanessa Redgrave,50
Isn't She Great,http://www.imdb.com/title/tt0141399/,US/UK,2000,2.95,Andrew Bergman,1,Jacqueline Susann,Author,True,White,False,Female,Bette Midler,18
iSteve,http://www.imdb.com/title/tt2782834/,US,2013,0,Ryan Perez,1,Steve Jobs,Other,True,Multi racial,True,Male,Justin Long,5
J. Edgar,http://www.imdb.com/title/tt1616195/,US,2011,37.3,Clint Eastwood,1,J. Edgar Hoover,Government,True,White,False,Male,Leonardo DiCaprio,7
Jamesy Boy,http://www.imdb.com/title/tt1673734/,US,2014,0,Trevor White,1,James Burns,Criminal,False,,False,Male,Spencer Lofranco,4
Jappeloup,http://www.imdb.com/title/tt2018079/,Canada,2013,0,Christian Duguay,1,"Pierre Durand, Jr.",Athlete,True,White,False,Male,Guillaume Canet,5
Jean Charles,http://www.imdb.com/title/tt0989007/,UK,2009,0,Henrique Goldman,1,Jean Charles de Menezes,Other,True,White,False,Male,Selton Mello,9
Jefferson in Paris,http://www.imdb.com/title/tt0113463/,US,1995,2.47,James Ivory,1,Thomas Jefferson,Historical,True,White,False,Male,Nick Nolte,23
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,47.0,Clint Eastwood,4,Bob Gaudio,Musician,True,White,False,Male,Erich Bergen,4
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,47.0,Clint Eastwood,4,Frankie Valli,Musician,True,White,False,Male,John Lloyd Young,4
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,47.0,Clint Eastwood,4,Nick Massi,Musician,True,White,False,Male,Michael Lomenda,4
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,47.0,Clint Eastwood,4,Tommy DeVito,Musician,True,White,False,Male,Vincent Piazza,4
Jesse James,http://www.imdb.com/title/tt0031507/,US,1939,0,Henry King,1,Jesse James,Criminal,True,White,False,Male,Tyrone Power,79
Jim Thorpe -- All-American,http://www.imdb.com/title/tt0043687/,US,1951,0,Michael Curtiz,1,Jim Thorpe,Athlete,True,Native American,True,Male,Burt Lancaster,67
Jimi: All Is by My Side,http://www.imdb.com/title/tt2402085/,US/UK,2013,0.323,John Ridley,1,Jimi Hendrix,Musician,True,Multi racial,True,Male,AndrÌ© Benjamin,5
Jinnah,http://www.imdb.com/title/tt0183306/,UK,1998,0,Jamil Dehlavi,1,Mohammad Ali Jinnah,Other,True,Middle Eastern,True,Male,Christopher Lee,20
"Jo Jo Dancer, Your Life Is Calling",http://www.imdb.com/title/tt0091295/,US,1986,18.0,Richard Pryor,1,Richard Pryor,Comedian,True,African American,True,Male,Richard Pryor,32
Joan of Arc,http://www.imdb.com/title/tt0040491/,US,1948,0,Victor Fleming,1,Joan of Arc,Historical,True,White,False,Female,Ingrid Bergman,70
Jobs,http://www.imdb.com/title/tt2357129/,US,2013,16.1,Joshua Michael Stern,1,Steve Jobs,Other,True,Multi racial,True,Male,Ashton Kutcher,5
John Paul Jones,http://www.imdb.com/title/tt0052946/,US,1959,0,John Farrow,1,John Paul Jones,Military,True,White,False,Male,Robert Stack,59
Juarez,http://www.imdb.com/title/tt0031516/,US,1939,0,William Dieterle,1,Benito Juarez,World leader,True,Hispanic (Latin American),True,Male,Paul Muni,79
Julie & Julia,http://www.imdb.com/title/tt1135503/,US,2009,94.1,Nora Ephron,2,Julia Child,Other,False,,False,Female,Meryl Streep,9
Julie & Julia,http://www.imdb.com/title/tt1135503/,US,2009,94.1,Nora Ephron,2,Julia Powell,Other,False,,False,Female,Amy Adams,9
Kid Cannabis,http://www.imdb.com/title/tt0780548/,US,2014,0.00557,John Stockwell,1,Nate Norman,Criminal,False,,False,Male,Jonathan Daniel Brown,4
Kill the Irishman,http://www.imdb.com/title/tt1416801/,US,2011,1.19,Jonathan Hensleigh,1,Danny Greene,Criminal,True,White,False,Male,Ray Stevenson,7
Kill the Messenger,http://www.imdb.com/title/tt1216491/,US,2014,2.45,Michael Cuesta,1,Gary Webb,Media,False,,False,Male,Jeremy Renner,4
Kill Your Darlings,http://www.imdb.com/title/tt1311071/,US,2013,1.03,John Krokidas,1,Allen Ginsberg,Author,True,White,False,Male,Daniel Radcliffe,5
Killer: A Journal of Murder,http://www.imdb.com/title/tt0113542/,US,1995,0.06570000000000001,Tim Metcalfe,1,Carl Panzram,Criminal,True,White,False,Male,James Woods,23
King David,http://www.imdb.com/title/tt0089420/,US,1985,0,Bruce Beresford,1,David,Historical,True,Middle Eastern (White),False,Male,Richard Gere,33
King of Kings,http://www.imdb.com/title/tt0055047/,US,1961,0,Nicholas Ray,1,Jesus,Historical,True,Middle Eastern (White),False,Male,Jeffrey Hunter,57
Kinsey,http://www.imdb.com/title/tt0362269/,US,2004,10.2,Bill Condon,1,Alfred Kinsey,Academic,True,White,False,Male,Liam Neeson,14
Klimt,http://www.imdb.com/title/tt0417871/,UK,2006,0,Raoul Ruiz,1,Gustav Klimt,Artist,True,White,False,Male,John Malkovich,12
Knute Rockne All American,http://www.imdb.com/title/tt0032676/,US,1940,0,Lloyd Bacon,1,Knute Rockne,Athlete,True,White,False,Male,Pat O'Brien,78
Korczak,http://www.imdb.com/title/tt0099949/,UK,1990,0,Andrzej Wajda,1,Janusz Korczak,Other,True,White,False,Male,Wojciech Pszoniak,28
Kundun,http://www.imdb.com/title/tt0119485/,US,1997,5.53,Martin Scorsese,1,Dalai Lama,Activist,True,Asian,True,Male,Tenzin Thuthob Tsarong,21
La Bamba,http://www.imdb.com/title/tt0093378/,US,1987,54.2,Luis Valdez,1,Ritchie Valens,Musician,True,Hispanic (Latino),True,Male,Lou Diamond Phillips,31
La Vie en Rose,http://www.imdb.com/title/tt0450188/,Canada/UK,2007,10.3,Olivier Dahan,1,Ìädith Piaf.,Singer,True,White,False,Female,Marion Cotillard,11
Lady Jane,http://www.imdb.com/title/tt0091374/,UK,1986,0.278,Trevor Nunn,1,Lady Jane Grey,Historical,False,,False,Female,Helena Bonham Carter,32
Lady Sings the Blues,http://www.imdb.com/title/tt0068828/,US,1972,9.6,Sidney J. Furie,1,Billie Holiday,Musician,True,African American,True,Female,Diana Ross,46
Last Days,http://www.imdb.com/title/tt0403217/,US,2005,0.455,Gus Van Sant,1,Kurt Cobain,Musician,True,White,False,Male,Michael Pitt,13
Lawrence of Arabia,http://www.imdb.com/title/tt0056172/,UK,1962,0.342,David Lean,1,Thomas Edward Lawrence,Military,True,White,False,Male,Peter O'Toole,56
Lee Daniels' The Butler,http://www.imdb.com/title/tt1327773/,US,2013,117.0,Lee Daniels,1,Cecil Gaines,Other,True,African American,True,Male,Forest Whitaker,5
Lenny,http://www.imdb.com/title/tt0071746/,US,1974,0,Bob Fosse,1,Lenny Bruce,Comedian,True,White,False,Male,Dustin Hoffman,44
Lincoln,http://www.imdb.com/title/tt0443272/,US,2012,182.0,Steven Spielberg,1,Abraham Lincoln,World leader,True,White,False,Male,Daniel Day-Lewis,6
Lion of the Desert,http://www.imdb.com/title/tt0081059/,US,1981,0,Moustapha Akkad,1,Omar Mukhtar,Activist,True,Middle Eastern,True,Male,Anthony Quinn,37
Lisztomania,http://www.imdb.com/title/tt0073298/,UK,1975,0,Ken Russell,1,Franz Liszt,Musician,True,White,False,Male,Roger Daltrey,43
Little Ashes,http://www.imdb.com/title/tt1104083/,UK,2008,0.48,Paul Morrison,1,Salvador DalÌ_,Artist,True,Multi racial,True,Male,Robert Pattinson,10
Lone Survivor,http://www.imdb.com/title/tt1091191/,US,2013,125.0,Peter Berg,1,Marcus Luttrell,Military,False,,False,Male,Mark Wahlberg,5
